vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2145,2026-01-28T18:55:49-06:00,Bloomington Rd. at Pioneer Plaza,Harris and Bloomington,Interstate and Research,Illinois Terminal,40.130783,-88.254883,LAVENDER South
1348,2026-01-28T18:55:37-06:00,Springfield and Harvey,Green and Goodwin,Lincoln Square,Pennsylvania Ave. Residence Hall,40.11229,-88.224,SILVER South
2367,2026-01-28T18:52:13-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.220617,ILLINI North
2044,2026-01-28T18:55:43-06:00,Duncan and Lager,Ginger Creek Apts.,Parkland College,Wright and Healey,40.11395,-88.2955,BROWN B
2017,2026-01-28T18:55:43-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.110267,-88.2275,ILLINI North
2043,2026-01-28T18:55:49-06:00,Hunter and Lanore,Washington and Lierman,Westfield and Lawndale,Main and Brady,40.103833,-88.1872,GREEN East
1717,2026-01-28T18:55:43-06:00,Mattis and Sangamon,Kirby and Mattis,Illinois Terminal,Round Barn Road,40.1005,-88.276633,BLUE West
2018,2026-01-28T18:55:49-06:00,Fourth and Gregory,Gregory at Mumford Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.104117,-88.228633,ILLINI South
2419,2026-01-28T18:55:52-06:00,University and McCullough,Coler and Church,Lincoln Square,Parkland College,40.11795,-88.213,GREY EVENING West
2432,2026-01-28T18:55:43-06:00,Parkview,First and Lake Park North,Champaign Walmart,Savoy Walmart,40.0667,-88.23875,YELLOW South
2020,2026-01-28T18:55:46-06:00,Unknown,Springfield and Birch,Lot E-14,Perkins and Eastern,40.112767,-88.217133,GOLD East
1722,2026-01-28T18:55:52-06:00,Green and Goodwin,Green and Sixth,Main and Brady,Westfield and Lawndale,40.110483,-88.2262,GREEN West
1733,2026-01-28T18:55:49-06:00,Florida Ave. Residence Hall,Lincoln at Japan House,Vet-Med,Vet-Med,40.098967,-88.21935,RAVEN N/A
1719,2026-01-28T18:55:49-06:00,Country Fair Dr. at Social Security,University and Fair,Plastipak,Illinois Terminal,40.116433,-88.2777,ORANGE East
2436,2026-01-28T18:55:46-06:00,Neil and North,Neil and Washington,Champaign Walmart,Illini Union,40.123233,-88.243633,RED Urbana
1730,2026-01-28T18:55:43-06:00,First and Stadium,Unknown,Illinois Terminal,Lot E-14,40.1002,-88.2386,YELLOWHOPPER South
2430,2026-01-28T18:55:46-06:00,Fourth and Peabody,Fifth and Armory,Water Survey,University and Wright,40.103567,-88.233383,LINK North
2203,2026-01-28T18:55:43-06:00,Prospect and Ayrshire Dr.,Devonshire and Peach,Parkland College,Wright and Healey,40.08965,-88.256383,BROWN B
2041,2026-01-28T18:55:40-06:00,Main and Walnut,Walnut and Columbia,Illinois Terminal,Champaign Walmart,40.1193,-88.241433,YELLOW EVENING North
1603,2026-01-28T18:55:49-06:00,Round Barn Road,Unknown,Unknown,Unknown,40.116267,-88.20225,Not available
2202,2026-01-28T18:55:46-06:00,Goodwin and Gregory,Plant Sciences Lab,Lincoln Square,Pennsylvania Ave. Residence Hall,40.10415,-88.222333,SILVER South
1724,2026-01-28T18:55:43-06:00,Transit Plaza,White and Wright,Lot E-14,Illinois Terminal,40.108967,-88.228883,YELLOWHOPPER North
1836,2026-01-28T18:55:43-06:00,Gregory at Library,First and Gregory,Lincoln Square,Lot E-14,40.104167,-88.231267,GOLDHOPPER West
